"filename", "language", "YAML", "Dart", "JSON", "Markdown", "Shell Script", "Ruby", "Gradle", "Java Properties", "XML", "Swift", "C++", "comment", "blank", "total"
"d:\projects\flutter\49-mobile-app\lib\common\functions\global\capitalize_first_letter_of_words.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\projects\flutter\49-mobile-app\lib\common\functions\global\upload_file.dart", "Dart", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 149
"d:\projects\flutter\49-mobile-app\lib\common\functions\helper\auth_helper.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\projects\flutter\49-mobile-app\lib\common\functions\helper\file_picker_helper.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"d:\projects\flutter\49-mobile-app\lib\common\functions\helper\lang_helper.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 22
"d:\projects\flutter\49-mobile-app\lib\common\functions\helper\launch_url.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 21
"d:\projects\flutter\49-mobile-app\lib\common\functions\helper\local_auth.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 3, 22
"d:\projects\flutter\49-mobile-app\lib\common\functions\helper\numbers_helper.dart", "Dart", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"d:\projects\flutter\49-mobile-app\lib\common\functions\helper\randome_color.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\projects\flutter\49-mobile-app\lib\common\functions\helper\routing_helper.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 18
"d:\projects\flutter\49-mobile-app\lib\common\functions\helper\share_helper.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\projects\flutter\49-mobile-app\lib\common\functions\helper\time_of_day_helper.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"d:\projects\flutter\49-mobile-app\lib\common\models\public\city_model.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\projects\flutter\49-mobile-app\lib\common\models\public\pagination_params.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\projects\flutter\49-mobile-app\lib\common\models\public\state_model.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\projects\flutter\49-mobile-app\lib\common\other\show_snack_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 1, 57
"d:\projects\flutter\49-mobile-app\lib\common\statuses\form_submission_status.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"d:\projects\flutter\49-mobile-app\lib\common\theme\cubit\cubit.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"d:\projects\flutter\49-mobile-app\lib\common\theme\cubit\states.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"d:\projects\flutter\49-mobile-app\lib\common\widgets\dialogs\show_bottom_sheet.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 29
